"","id","cohort","sex","treatment","age0_mature","age1_mature","age2_mature","age3_mature","age4_mature","age_at_mature","repeatspawn","spawning_strategy"
"1958","982126058798907",2018,NA,"control",NA,0,1,NA,NA,"2",1,"semelparity"
"1959","982126058799017",2018,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"1960","982126058798912",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1961","982126058798937",2019,NA,"control",0,0,0,NA,NA,">2",0,NA
"1962","982126058798900",NA,"female?","control",NA,NA,NA,NA,NA,">0",0,NA
"1963","RYPP",2018,"female","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"1964","982126058798929",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1965","982126058798913",2019,NA,"control",0,1,NA,NA,NA,"1",1,"semelparity"
"1966","982126058798923",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1967","982126058798909",2019,NA,"control",0,1,NA,NA,NA,"1",1,"semelparity"
"1968","982126058798933",2018,"male","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"1969","982126058798931",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1970","982126058798978",2018,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"1971","982126058798962",2019,NA,"control",0,NA,0,NA,NA,">2?",0,NA
"1972","982126058798921",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1973","982126058798945",2019,NA,NA,0,NA,1,NA,NA,"2?",1,"semelparity"
"1974","982126058798918",2019,NA,"control",0,0,0,NA,NA,">2",0,NA
"1975","982126058798934",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1976","982126058798917",2019,"male","early",1,NA,NA,NA,NA,"0",1,"semelparity"
"1977","982126058798981",2018,NA,"control",NA,0,0,NA,NA,">2",0,NA
"1978","982126058798964",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1979","982126058798991",2019,NA,"control",0,NA,1,NA,NA,"2?",1,"semelparity"
"1980","982126058798903",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1981","982126058798967",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1982","982126058798989",2019,NA,"control",0,NA,1,NA,NA,"2?",1,"semelparity"
"1983","982126058798958",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1984","982126058798952",2019,NA,"control",0,NA,0,NA,NA,">2?",0,NA
"1985","982126058798940",2018,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"1986","982126058798947",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1987","982126058798951",2019,NA,"control",0,0,1,NA,NA,"2",1,"semelparity"
"1988","982126058798992",2019,NA,"control",0,0,NA,NA,NA,">1",0,NA
"1989","982126058798897",2018,"male","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"1990","PBPPPB?",2018,"female","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"1991","982126058798960",2018,"male","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"1992","982126058798966",2019,"male","early",1,NA,NA,NA,NA,"0",1,"semelparity"
"1993","982126058798983",2019,"male","early",0,1,NA,NA,NA,"1",1,"semelparity"
"1994","982126058798959",2018,"female","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"1995","982126058798973",2019,"male","early",0,0,1,NA,NA,"2",1,"semelparity"
"1996","982126058798899",2019,"female",NA,0,NA,1,NA,NA,"2?",1,"semelparity"
"1997","982126058798904",2018,"male","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"1998","982126058798925",2018,"male","early",NA,0,NA,NA,NA,">1",0,NA
"1999","982126058798901",2018,"male","early",NA,0,0,NA,NA,">2",0,NA
"2000","982126058798996",2019,"male","early",0,NA,NA,NA,NA,">0",0,NA
"2001","982126058798984",2019,"male","early",0,0,0,NA,NA,">2",0,NA
"2002","982126058798979",2018,"female","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"2003","982126058798971",2019,"male","early",0,NA,NA,NA,NA,">0",0,NA
"2004","982126058798915",2018,"male","early",NA,1,1,NA,NA,"1",2,"iteroparity"
"2005","982126058798988",2018,"female","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"2006","982126058798982",2019,"male","early",1,NA,NA,NA,NA,"0",1,"semelparity"
"2007","982126058798948",2019,"male","early",0,NA,NA,NA,NA,">0",0,NA
"2008","982126058798908",2017,"female","early",NA,NA,1,NA,NA,"2?",1,"semelparity"
"2009","982126058798972",2019,"male","early",0,NA,NA,NA,NA,">0",0,NA
"2010","982126058798969",2018,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"2011","982126058798949",2018,"male?","early",NA,0,NA,NA,NA,">1",0,NA
"2012","982126058798910",2019,"female?","early",0,0,NA,NA,NA,">1",0,NA
"2013","2019RRDR",2019,"male","early",1,NA,NA,NA,NA,"0",1,"semelparity"
"2014","982126058798927",2019,"female","early",0,1,1,NA,NA,"1",2,"iteroparity"
"2015","982126058798965",2019,"male","control",1,1,NA,NA,NA,"0",2,"iteroparity"
"2016","982126058798932",2019,"female","early",0,NA,NA,NA,NA,">0",0,NA
"2017","982126058798943",2019,"male","control",1,1,NA,NA,NA,"0",2,"iteroparity"
"2018","982126058798976",2018,"male","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"2019","982126058798961",2019,"female","early",0,NA,NA,NA,NA,">0",0,NA
"2020","982126058798936",2018,"female","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"2021","982126058798968",2018,"male","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"2022","982091062776621",2020,"male","late",1,0,1,NA,NA,"0",2,"iteroparity"
"2023","2019RRRR",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"2024","2019RRRG",2018,NA,"early",NA,0,NA,NA,NA,">1",0,NA
"2025","2019RRRY",2019,"male","early",1,NA,NA,NA,NA,"0",1,"semelparity"
"2026","2019RRRD",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2027","2019RRGR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"2028","2019RRGG",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2029","2019RRGY",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2030","2019RRGD",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2031","2019RRYR",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2032","2019RRYG",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2033","2019RRYY",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2034","2019RRYD",2018,"male?","early",NA,NA,NA,NA,NA,">0",0,NA
"2035","2019RRDG",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2036","2019RRDY",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2037","2019RRDD",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2038","2019RGRR",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2039","2019RGRG",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2040","2019RGRY",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2041","2019RGRD",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2042","2019RGGR",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2043","2019RGGG",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2044","2019RGGY",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2045","2019RGGD",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2046","2019RGYR",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2047","2019RGYG",2019,NA,"early",0,NA,NA,NA,NA,">0",0,NA
